pozice;nazev;kod
1;Cuvée Jeden sud SG+CH;PAR.0058
2;Sauvignon - Pozdravy z NP Podyjí;KOR.0224
3;Veltlínské zelené VOC;VIH.0262
4;Chardonnay - Lampelberg 2022 v.h.;WAL.0414
5;Veltlínské zelené;KAC.0007
6;THAYA Pinot Blanc;KOR.0220
7;Hibernal;TAO.0199
8;Veltlínské zelené;SIM.0087
9;Pinot Gris;TAO.0200
10;Ryzlink rýnský ze Šobesu;ZNO.0484
11;Ryzlink vlašský - Waldberg 2024 p.s.;WAL.0443
12;Ryzlink TYPIK;HAL.0023
13;Sylván;FUT.0007
14;Cuveé SG/RR/VZ VeRySgo;VSL.0147
15;Veltlínské zelené - Lampelberg 2024 VOC;LAH.0525
16;Veltlínské zelené VOC;DOB.0057
17;Cuvée Rajská 2025;LAH.0565
18;Veltlínské zelené EXTRA;PAJ.0155
19;Sauvignon;PLA.0147
20;Ryzlink vlašský;AMP.0176
21;Pinot Gris;SIM.0089
22;Cuveé Gryllus bílý;SPA.0200
23;Ryzlink rýnský;KOR.0213
24;Neuburské z Pekla;ZNO.0448
25;Znojemský Müller Thurgau 2024;HOR.0146
26;Sauvignon VOC;HOD.0088
27;Muškát žlutý - Šác 2025 p.s.;HAN.0278
28;Ryzlink rýnský VOC;PAJ.0164
29;Sauvignon VOC;ZNO.0475
30;Rulandské šedé;PAJ.0157
31;SUPA | suchá Pálava;HAL.0019
32;Müller Thurgau;NES.0009
33;Kerner;AMP.0177
34;Sauvignon;LIB.0078
35;Irsai Oliver;VIH.0264
36;Rulandské bílé;VIH.0265
37;Sauvignon Blanc VOC;VAN.0149
38;Donauriesling BIO;SPA.0194
39;Chardonnay;MOD.0128
40;Sauvignon šedý;ZNO.0485
41;Hibernal;PAJ.0156
42;Johanniter FRESH;JOK.0068
43;Pálava - Dolina 2024 p.s.;HAN.0271
44;Ryzlink rýnský;LIB.0077
45;Tramín červený - ještěrka;ZNO.0483
46;Hibernal - Šác 2025 v.h.;HAN.0279
47;Sauvignon;JZM.0034
48;Chardonnay - U sv. Urbana 2025 p.s.;HAN.0280
49;Muškát moravský - Olbramovická hora 2024 p.s.;LAH.0519
50;Veltlín naruby;PRK.0004
51;Pálava;MAR.0027
52;Tramín červený;MHL.0015
53;Pálava;NAP.0040
54;Tramín červený;MOD.0144
55;Veritas;AMP.0186
56;Ryzlink rýnský - Volné pole 2022 v.h.;LAH.0451
57;Tramín žlutý;VAN.0140
58;Solaris;PLA.0149
59;Ryzlink rýnský - slámové víno;VSL.0120
60;Ledové Veltlínské zelené BIO;SPA.0201
61;Cabernet Sauvignon rosé;VAN.0143
62;Franceska Rosé 2025;HOR.0152
63;Merlot rosé;TAO.0194
64;André rosé;HOD.0090
65;Zweigeltrebe - Babičák 2024 p.s.;LAH.0520
66;Apri Pinot Noir;KOR.0227
67;HF Classique Cuvée Merlot;HOR.0156
68;Zweigeltrebe - Blue Line;VSL.0142
69;Frankovka;PLA.0148
70;Šaler červený;SPA.0157
71;Veltlínské zelené VOC;VAN.0148
72;Veltlínské zelené VOC;ZNO.0478
73;Veltlínské zelené VOC;SPA.0198
74;Veltlínské zelené VOC;PAJ.0162
75;Veltlínské zelené VOC;HOD.0089
76;Sauvignon VOC;HAL.0021
77;Sauvignon VOC;SIM.0088
78;Sauvignon VOC;VIH.0260
79;Sauvignon VOC;SPA.0199
80;Sauvignon VOC;PAJ.0163
81;Ryzlink rýnský;SIM.0086
82;Ryzlink rýnský VOC;VAN.0151
83;Ryzlink rýnský VOC;ZNO.0480
84;Ryzlink rýnský VOC;VSL.0145
85;Ryzlink rýnský VOC;AMP.0185
86;Ryzlink vlašský - WAVE Beton;LAH.0420
87;Cuvée GRANIT VZ+RR;HOR.0155
88;Ryzlink rýnský | KŘ VOC Znojmo;DVP.0032
89;Pálava 2023+24 Orange;DNT.0004
90;Just Grapes 2024;VAJ.0092
91;Riesling THINK, Frauenberg;SMR.0002
92;Ryzlink vlašský;ZIS.0003
93;Zweigeltrebe rosé;PRI.0003
94;Sauvignon;FRL.0008
95;Sauvignon Šaldorfský Kravák;MIL.0001
96;Pálava;JAN.0001
97;Hibernal;ELE.0003
98;Cuvée Blanche;DIW.0005
99;Muškát moravský;VRB.0003
100;Tramín červený;KUB.0004
101;Kerner - Pírko;ZNO.0453
102;Müller Thurgau - Volné pole 2024 kab.;LAH.0531
103;Veltlín FRESH;HAL.0022
104;Savilon - Volné pole 2023 p.s.;HAN.0250
105;Sauvignon Karlov;TAO.0138
106;Sauvignon VOC;LIB.0073
107;Pálava - Pozdravy z NP Podyjí;KOR.0221
108;Moje cuvée 2025;SIM.0083
109;Rulandské šedé - U Hájku 2022 v.b.;LAH.0437
110;Veltlínské zelené AT klony;AMP.0165
111;Tramín červený;NAP.0036
112;Sauvignon Blanc VOC;VAN.0136
113;Ryzlink rýnský VOC;VIH.0261
114;Pálava;VIH.0256
115;Hibernal;ZNO.0472
116;Cuvée Šaldec;PAJ.0160
117;Sauvignon gris;HAN.0197
118;Rinot;PLA.0141
119;Zweigeltrebe rosé BIO;SPA.0195
120;Rulandské modré - Volné pole 2021 v.h.;WAL.0395
